"iname","icount"
"“Goop” is the word that Gwyneth Paltrow uses for {semen.}","8"
"{A barn owl} is the only animal on earth that can feel love.","-1"
"{A toilet} is becoming a completely foreign object to women.","10"
"{Being a juggalo} is just like being a normal person.","-7"
"{Bruce Lee} was black.","7"
"{Canoe} complications are enough to strain any relationship.","4"
"{Christopher Walken} is the most successful black actor in Hollywood.","-5"
"{Cocaine} improves heart function when taken in moderation.","23"
"{Dark matter} killed the dinosaurs.","-1"
"{Dogs} are the most venomous animal in the world.","-18"
"{Dolphins} know how to access multiple dimensions.","0"
"{Dried pee} smells a lot like perfume.","-5"
"{Everyone playing this game with you} is a lizard person.","6"
"{Flashlights} produce small nuclear explosions.","-9"
"{Gangrene} will heal naturally if given enough time.","0"
"{Ghosts can haunt your anus and} give you mad uncontrollable bouts of farting.","1"
"{Gravity} is a constant everywhere on Earth, except Mexico.","-3"
"{It is legal to} post nude photos of someone without their consent.","2"
"{Justin Bieber} has an IQ of 186.","-11"
"{Leonardo DiCaprio's salary} is bankrupting America.","0"
"{Man used to live} for hundreds of years disease free.","-6"
"{Pouring sugar on} a turtle will cause its shell to melt.","-12"
"{Pubic lice are a turn on because} when you go down on someone, they're like right in your nose.","5"
"{Salt} needs more sugar.","-6"
"{Sand dollars} are valid US currency.","-6"
"{Slavery} did not exist in America.","-4"
"{Small breasts} are a thing of the past.","2"
"{Snow} is a side effect of nuclear fallout.","22"
"{Stevie Knicks} has never taken drugs.","-1"
"{The first couple Matchbox 20} albums are actually really good.","-1"
"{The iPhone} was the key piece of technology that allowed humans to finally travel to the moon.","-18"
"{The Kardashians} are in league with Al-Qaeda.","8"
"{The Wrongest Words} is a government test for autism.","13"
"{There genuinely are} monsters under children's beds.","5"
"{There is no such thing as a “best”} when it comes to sports or sports teams.","7"
"{Warhammer 40,000} can make anything awesome.","5"
"{Zombies} caused the end of the Roman Empire.","1"
"3 days after milk spoils, it will {smell like lilac.}","-11"
"A cat's vertically-split pupils allow it {to see ghosts, but only the ghosts of} other cats.","-8"
"After leaving Apple, Steve Wozniak got a job as {a hedge fund manager.}","-3"
"America should put all its prisoners {into one giant super prison.}","1"
"An accident at a seance caused Jon Stewart{'s soul to inhabit Trevor Noah's body.}","0"
"As of 2002, {love went extinct.}","-8"
"Bear attacks can be prevented with {belly rubs.}","16"
"Benedict Cumberbatch was born and raised in {Tuscaloosa, Alabama.}","-2"
"Beyoncé has an {alpaca ranch in the Himalayas.}","0"
"Britney Spears {invented tubthumping.}","-6"
"Chris Pratt's feet {smell of fresh pine needles year round.}","-3"
"Clowns are {sexy.}","-7"
"Damon Wayans Jr. is actually {Damon Wayans Sr. with a wig on.}","0"
"David Beckham credits {wiccan magick} as the reason for his success in football.","0"
"Dogs are {only colorblind when they are} not barking.","6"
"Eating a carrot a day will {eventually turn your skin orange.}","11"
"Everyone has a {tickling} fetish.","10"
"Exposure to {the vacuum of space} will change your sexual orientation.","15"
"Froot Loops are spelled that way because the cereal contains {blood.}","-1"
"Guy Fieri has 3 {Michelin stars.}","1"
"Honey bees can {speak Korean.}","-10"
"I am fully capable of going backwards {and forwards in time and at will.}","5"
"I was having sex with my ladyfriend {and we're both prego.}","5"
"IBM's Deep Blue supercomputer is trying to figure out {how many Fast & Furious movies there are.}","-6"
"Ice is the {natural enemy of} bottled water.","6"
"If a rabbit {hears a D# note,} it will immediately attack any other rabbit it sees.","-4"
"If we don't make changes now{, E will equal mc^3} within 10 years.","12"
"Iggy Azalea and Azalea Banks {are the same person.}","-9"
"It's almost impossible to quit {giving yourself wedgies.}","-1"
"It's natural for a person to be sexually {attracted to Pokemon.}","14"
"Jelqing (manually wringing blood into your penis) {is positively REQUIRED just prior to sex.}","3"
"Jenny McCarthy meant to say that {vacuums cause autism.}","3"
"Jesus was pretty explicit about not {baking cakes for} gay people.","21"
"Kanye West doesn't get {the credit he deserves.}","0"
"Laura Ingalls Wilder is {God.}","-10"
"Light creates {gravity.}","5"
"Marvin Gaye's Let's Get It On is actually about {fistfights.}","-6"
"Mercury is the only planet that {gets depressed.}","13"
"Michael Bay {directed Boyhood, but gave credit to} Richard Linklater.","1"
"Microchips run 1.75 times faster when covered in {milk.}","-1"
"Minors find it difficult to {masturbate.}","3"
"Most people are not {intellectual enough to understand} Family Guy.","1"
"N.W.A.'s “F*** Tha Police” is about {Ice Cube's hatred for Sting.}","-4"
"Nancy Reagan kept a {handgun} in her hair.","5"
"No one on Earth is {gay.}","3"
"No one understands how {drums} work.","-7"
"Owen Wilson's nose is {a prosthetic.}","0"
"Paul Wall and Chamillionaire met {at Seminary.}","-5"
"PCP was originally used as a {water substitute for American soldiers} in World War I.","-21"
"People who wear glasses {are all liars.}","4"
"Rain is caused by a {blue cloud and a red cloud having} an argument","-10"
"Reiki is 100% effective, but energy fields {are disrupted by asking for evidence.}","-4"
"Ru Paul is just {Ron Paul} with a dress on.","-11"
"Salt in your eyes will {improve your vision.}","7"
"Scarlett Johansson's real full name is {Bubba Dumptruck McGillicuddy, III.}","1"
"Seth Rogan's penis looks like {Jonah Hill.}","-6"
"Shaquille O'Neal has {memorized pi to 256 places.}","2"
"Some Jewish males are born {without foreskins.}","2"
"Spaghetti and Meatballs is known as {Pasketti and Meatbulbs} in Italy.","7"
"Sticking a penis in anyone's mouth, man or woman{, has never been conducive to the benefit of anyone.}","-7"
"Sweat is created by {small aphid-like creatues} that live inside your pores.","4"
"The best cure for hiccups is to {stare directly into the sun.}","15"
"The best selling death metal album of all time is {Babel by Mumford & Sons.}","-9"
"The best way to get white wine out of a shirt is {with red wine.}","-6"
"The car has never changed {since the invention of the automobile.}","5"
"The constitution {must be fed with 20ml of honey per day} or it starts to create amendments.","-10"
"The first polio vaccine, the Salk vaccine{, was a total disaster}.","-12"
"The human body is made up of 60% {cheap vodka.}","-2"
"The human liver in an organ that turns toxins into {bitcoin.}","11"
"The human need to sneeze is just {a desperate cry for attention.}","22"
"The inner penis {is before} the outer penis of course.","3"
"The keys to Steinway pianos are made from {human finger bones.}","-6"
"The Latino people have never had {a revolution.}","-21"
"The Mercury Thermometer was {invented by Freddy Mercury.}","8"
"The moon and sun are the {same thing. At night the sun simply cools down.}","3"
"The most common request to a barber is {make me look like Kevin Spacey.}","-15"
"The one thing Kurt Vonnegut truly hated was {potatoes.}","1"
"The pattern known as “plaid” {doesn't actually exist.}","-5"
"There is no difference between night dreams and daytime dreams {except about elephant.}","-5"
"There is no rational argument for not being a {brony.}","-12"
"There's nothing perverted about {sniffing a pretty girl's seat cushion.}","-1"
"Thomas Jefferson said the tree of liberty must be watered with {Mountain Dew Code Red.}","10"
"Toby Keith converted {to Islam in 2013.}","-8"
"We don't know how to make fat people {into thin people or how to make thin people into fat people.}","-4"
"We're all {goth} now.","1"
"Women were {made to be} spanked by men.","-1"
"You can improve your sex power by {eating garlic.}","10"
"You can't {write porn} as a virgin.","2"
"Zebras are created when {a white horse and a black horse} have sex.","-5"
